matrix	kernel	threads	sched	part	ms	gflops	gbs	check
heart1	csr-omp	1	guided	row	0.6072	4.57	27.5	PASS
heart1	csr-omp	1	any	nnz	0.6057	4.58	27.5	PASS
heart1	csr-omp	2	static	row	0.3064	9.06	54.5	PASS
heart1	csr-omp	2	dynamic,16	row	0.3257	8.52	51.2	PASS
heart1	csr-omp	2	dynamic,64	row	0.3136	8.85	53.2	PASS
heart1	csr-omp	2	dynamic,256	row	0.3152	8.81	52.9	PASS
heart1	csr-omp	2	guided	row	0.3062	9.06	54.5	PASS
heart1	csr-omp	2	any	nnz	0.3057	9.08	54.6	PASS
heart1	csr-omp	4	static	row	0.1631	17.01	102.3	PASS
heart1	csr-omp	4	dynamic,16	row	0.1650	16.82	101.1	PASS
heart1	csr-omp	4	dynamic,64	row	0.1625	17.08	102.6	PASS
heart1	csr-omp	4	dynamic,256	row	0.1813	15.31	92.0	PASS
heart1	csr-omp	4	guided	row	0.1555	17.85	107.3	PASS
heart1	csr-omp	4	any	nnz	0.1548	17.93	107.8	PASS
heart1	csr-omp	8	static	row	0.0987	28.11	168.9	PASS
heart1	csr-omp	8	dynamic,16	row	0.0840	33.02	198.5	PASS
heart1	csr-omp	8	dynamic,64	row	0.0873	31.80	191.2	PASS
heart1	csr-omp	8	dynamic,256	row	0.1011	27.45	165.0	PASS
heart1	csr-omp	8	guided	row	0.0815	34.07	204.8	PASS
heart1	csr-omp	8	any	nnz	0.0820	33.85	203.4	PASS
heart1	csr-omp	16	static	row	0.0544	50.98	306.4	PASS
heart1	csr-omp	16	dynamic,16	row	0.0593	46.82	281.4	PASS
heart1	csr-omp	16	dynamic,64	row	0.0590	47.06	282.9	PASS
heart1	csr-omp	16	dynamic,256	row	0.0621	44.71	268.7	PASS
heart1	csr-omp	16	guided	row	0.0531	52.28	314.2	PASS
heart1	csr-omp	16	any	nnz	0.0487	56.99	342.5	PASS
heart1	ell-omp	1	static	row	1.8650	1.49	25.6	PASS
heart1	ell-omp	1	dynamic,16	row	1.8720	1.48	25.5	PASS
heart1	ell-omp	1	dynamic,64	row	1.8849	1.47	25.4	PASS
heart1	ell-omp	1	dynamic,256	row	1.8762	1.48	25.5	PASS
heart1	ell-omp	1	guided	row	1.8715	1.48	25.6	PASS
heart1	ell-omp	1	any	nnz	1.8843	1.47	25.4	PASS
heart1	ell-omp	2	static	row	0.9402	2.95	50.9	PASS
heart1	ell-omp	2	dynamic,16	row	0.9594	2.89	49.8	PASS
heart1	ell-omp	2	dynamic,64	row	0.9493	2.92	50.4	PASS
heart1	ell-omp	2	dynamic,256	row	0.9419	2.95	50.8	PASS
heart1	ell-omp	2	guided	row	0.9397	2.95	50.9	PASS
heart1	ell-omp	2	any	nnz	0.9420	2.95	50.8	PASS
heart1	ell-omp	4	static	row	0.4713	5.89	101.5	PASS
heart1	ell-omp	4	dynamic,16	row	0.4818	5.76	99.3	PASS
